id,order_id,date,quantity,product_id,product_name,products_unit,products_price,supplier_id,suppliers_name,suppliers_contact,suppliers_address,suppliers_city,suppliers_postal_code,suppliers_country,suppliers_phone,category_id,categories_name,categories_description,customer_id,customers_name,customers_contact,customer_address,customers_city,customers_postal_code,customers_country,employee_id,employees_last_name,employees_first_name,employees_birthdate,employees_photo,employees_notes,shipper_id,shippers_name,shippers_phone
1,10248,1996-07-04,12,11,"Queso Cabrales","1 kg pkg.",21,5,"Cooperativa de Quesos Las Cabras","Antonio del Valle Saavedra","Calle del Rosal 4",Oviedo,33007,Spain,"(98) 598 76 54",4,"Dairy Products",Cheeses,90,"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,5,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",3,"Federal Shipping","(503) 555-9931"
2,10248,1996-07-04,10,42,"Singaporean Hokkien Fried Mee","32 - 1 kg pkgs.",14,20,"Leka Trading","Chandra Leka","471 Serangoon Loop, Suite #402",Singapore,0512,Singapore,555-8787,5,Grains/Cereals,"Breads, crackers, pasta, and cereal",90,"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,5,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",3,"Federal Shipping","(503) 555-9931"
3,10248,1996-07-04,5,72,"Mozzarella di Giovanni","24 - 200 g pkgs.",34.8,14,"Formaggi Fortini s.r.l.","Elio Rossi","Viale Dante, 75",Ravenna,48100,Italy,"(0544) 60323",4,"Dairy Products",Cheeses,90,"Wilman Kala","Matti Karttunen","Keskuskatu 45",Helsinki,21240,Finland,5,Buchanan,Steven,1955-03-04,EmpID5.pic,"Steven Buchanan graduated from St. Andrews University, Scotland, with a BSC degree. Upon joining the company as a sales representative, he spent 6 months in an orientation program at the Seattle office and then returned to his permanent post in London, where he was promoted to sales manager. Mr. Buchanan has completed the courses 'Successful Telemarketing' and 'International Sales Management'. He is fluent in French.",3,"Federal Shipping","(503) 555-9931"
4,10249,1996-07-05,9,14,Tofu,"40 - 100 g pkgs.",23.25,6,Mayumis,"Mayumi Ohno","92 Setsuko Chuo-ku",Osaka,545,Japan,"(06) 431-7877",7,Produce,"Dried fruit and bean curd",81,"Tradicao Hipermercados","Anabela Domingues","Av. Ines de Castro, 414","Sao Paulo",05634-030,Brazil,6,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",1,"Speedy Express","(503) 555-9831"
5,10249,1996-07-05,40,51,"Manjimup Dried Apples","50 - 300 g pkgs.",53,24,"Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",7,Produce,"Dried fruit and bean curd",81,"Tradicao Hipermercados","Anabela Domingues","Av. Ines de Castro, 414","Sao Paulo",05634-030,Brazil,6,Suyama,Michael,1963-07-02,EmpID6.pic,"Michael is a graduate of Sussex University (MA, economics) and the University of California at Los Angeles (MBA, marketing). He has also taken the courses 'Multi-Cultural Selling' and 'Time Management for the Sales Professional'. He is fluent in Japanese and can read and write French, Portuguese, and Spanish.",1,"Speedy Express","(503) 555-9831"
6,10250,1996-07-08,10,41,"Jacks New England Clam Chowder","12 - 12 oz cans",9.65,19,"New England Seafood Cannery","Robb Merchant","Order Processing Dept. 2100 Paul Revere Blvd.",Boston,02134,USA,"(617) 555-3267",8,Seafood,"Seaweed and fish",34,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,4,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",2,"United Package","(503) 555-3199"
7,10250,1996-07-08,35,51,"Manjimup Dried Apples","50 - 300 g pkgs.",53,24,"Gday, Mate","Wendy Mackenzie","170 Prince Edward Parade Hunters Hill",Sydney,2042,Australia,"(02) 555-5914",7,Produce,"Dried fruit and bean curd",34,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,4,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",2,"United Package","(503) 555-3199"
8,10250,1996-07-08,15,65,"Louisiana Fiery Hot Pepper Sauce","32 - 8 oz bottles",21.05,2,"New Orleans Cajun Delights","Shelley Burke","P.O. Box 78934","New Orleans",70117,USA,"(100) 555-4822",2,Condiments,"Sweet and savory sauces, relishes, spreads, and seasonings",34,"Hanari Carnes","Mario Pontes","Rua do Paco, 67","Rio de Janeiro",05454-876,Brazil,4,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",2,"United Package","(503) 555-3199"
12,10252,1996-07-09,40,20,"Sir Rodneys Marmalade","30 gift boxes",81,8,"Specialty Biscuits, Ltd.","Peter Wilson","29 Kings Way",Manchester,"M14 GSD",UK,"(161) 555-4448",3,Confections,"Desserts, candies, and sweet breads",76,"Supremes delices","Pascale Cartrain","Boulevard Tirou, 255",Charleroi,B-6000,Belgium,4,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",2,"United Package","(503) 555-3199"
13,10252,1996-07-09,25,33,Geitost,"500 g",2.5,15,"Norske Meierier","Beate Vileid","Hatlevegen 5",Sandvika,1320,Norway,(0)2-953010,4,"Dairy Products",Cheeses,76,"Supremes delices","Pascale Cartrain","Boulevard Tirou, 255",Charleroi,B-6000,Belgium,4,Peacock,Margaret,1958-09-19,EmpID4.pic,"Margaret holds a BA in English literature from Concordia College and an MA from the American Institute of Culinary Arts. She was temporarily assigned to the London office before returning to her permanent post in Seattle.",2,"United Package","(503) 555-3199"
